City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
74,Basoko,CD,73.71,scattered clouds,1.2391,23.616,Flat Hotel La Benediction
75,Cabo San Lucas,MX,84.2,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
80,Ankang,CN,61.0,overcast clouds,32.68,109.0172,安琪酒店
81,Hasaki,JP,64.0,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
84,Charters Towers,AU,77.61,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
85,Placido De Castro,BR,74.05,overcast clouds,-10.3353,-67.1856,Hotel Carioca
86,Colac,AU,71.01,scattered clouds,-38.3333,143.5833,Otway Gate Motel
87,Veraval,IN,77.29,few clouds,20.9,70.3667,Lords Inn Somnath
89,Georgetown,MY,80.6,few clouds,5.4112,100.3354,Cititel Penang
90,East London,ZA,66.43,broken clouds,-33.0153,27.9116,Tu Casa
95,Bredasdorp,ZA,60.8,light rain,-34.5322,20.0403,Bredasdorp Country Manor
96,Meulaboh,ID,74.48,overcast clouds,4.1363,96.1285,Kost Pria
97,Sainte-Rose,GP,73.4,broken clouds,16.3324,-61.6979,Villa - Duzer
98,Bendigo,AU,77.0,few clouds,-36.7667,144.2833,The Hotel Shamrock
102,Bubaque,GW,76.71,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
104,Saint George,US,72.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
105,San Jose,US,84.0,clear sky,37.3394,-121.895,The Westin San Jose
106,Sao Joao Da Barra,BR,72.75,heavy intensity rain,-21.6403,-41.0511,Pousada Porto De Canoas
107,San Carlos De Bariloche,AR,62.6,broken clouds,-41.1456,-71.3082,Hotel Patagonia
110,Kruisfontein,ZA,64.99,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
112,Xiaoweizhai,CN,66.25,few clouds,26.1903,107.5125,Karst Youth Hostel
114,Khandbari,NP,60.76,broken clouds,27.3747,87.2039,Sainik Hotel And Lodge
117,Alta Floresta,BR,72.55,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
120,Bonito,BR,78.4,overcast clouds,-21.1211,-56.4819,Marruá Hotel
121,Hambantota,LK,79.2,overcast clouds,6.1241,81.1185,Bungalow 63
122,Carnarvon,AU,71.6,clear sky,-24.8667,113.6333,Hospitality Carnarvon
124,Ranong,TH,78.8,scattered clouds,9.9658,98.6348,Tinidee Hotel@Ranong
126,Arraial Do Cabo,BR,75.25,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
127,Cidreira,BR,68.43,scattered clouds,-30.1811,-50.2056,Hotel Castelo
129,Santiago,CL,73.0,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
130,Bonthe,SL,79.32,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
131,Jieshi,CN,78.01,overcast clouds,22.8134,115.8257,Yuehai Hotel
132,Guerrero Negro,MX,79.75,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
133,Bangkal,PH,80.69,overcast clouds,6.0667,121.0667,JB's Resort
134,Frontera,MX,68.0,overcast clouds,26.9333,-101.45,Casagrande Hotel
135,Vaini,TO,86.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
136,Tura,IN,69.22,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
142,Hobyo,SO,79.45,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
144,Sur,OM,80.49,few clouds,22.5667,59.5289,Sur Plaza Hotel
148,Eyl,SO,74.43,scattered clouds,7.9803,49.8164,Amiin Hotel
149,Viru,PE,68.0,fog,-8.4167,-78.75,AYAR PORTENTOS DE MONTAÑA
150,Bingerville,CI,84.2,few clouds,5.3584,-3.8869,Residence Hotel le Jourdain
151,Bela,IN,70.02,clear sky,25.9333,81.9833,Raj Bhawan
152,Denpasar,ID,80.6,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
154,Beba,CU,82.4,few clouds,22.4437,-79.7253,Hostal Cubaustria
155,Adrar,MR,83.7,overcast clouds,20.5022,-10.0711,
156,Hobart,AU,73.4,clear sky,-42.8794,147.3294,Mantra on Collins Hobart
158,New Norfolk,AU,73.0,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
160,Benguela,AO,77.86,broken clouds,-12.5763,13.4055,Hotel Praia Morena
161,San Patricio,US,73.4,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
165,Havelock,US,71.01,overcast clouds,34.8791,-76.9013,Sherwood Motel
166,Catuday,PH,80.19,scattered clouds,16.2923,119.8062,GResort
167,San Quintin,MX,70.81,clear sky,30.4833,-115.95,Old Mill Hotel
168,Maragogi,BR,79.3,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
