City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Kaitangata,NZ,-46.2817,169.8464,57.99,53,8,7.0,clear sky
116,Fershampenuaz,RU,53.5202,59.8117,22.77,89,99,14.83,overcast clouds
117,Alta Floresta,BR,-9.8756,-56.0861,72.55,94,98,2.89,overcast clouds
118,Novyy Urengoy,RU,66.0833,76.6333,-8.0,81,72,16.22,broken clouds
119,Kodiak,US,57.79,-152.4072,33.8,51,1,24.16,clear sky
120,Bonito,BR,-21.1211,-56.4819,78.4,54,93,2.37,overcast clouds
121,Hambantota,LK,6.1241,81.1185,79.2,85,92,12.86,overcast clouds
122,Carnarvon,AU,-24.8667,113.6333,71.6,94,0,5.75,clear sky
123,Tuktoyaktuk,CA,69.4541,-133.0374,-11.2,77,75,20.71,snow
124,Ranong,TH,9.9658,98.6348,78.8,94,40,9.33,scattered clouds
125,Jamestown,US,42.097,-79.2353,43.0,61,75,7.96,broken clouds
126,Arraial Do Cabo,BR,-22.9661,-42.0278,75.25,76,28,15.59,scattered clouds
127,Cidreira,BR,-30.1811,-50.2056,68.43,73,31,12.95,scattered clouds
128,Cherskiy,RU,68.75,161.3,8.58,71,100,1.23,overcast clouds
129,Santiago,CL,-33.4569,-70.6483,73.0,60,0,9.22,clear sky
130,Bonthe,SL,7.5264,-12.505,79.32,86,37,5.84,scattered clouds
131,Jieshi,CN,22.8134,115.8257,78.01,93,99,1.01,overcast clouds
132,Guerrero Negro,MX,27.9769,-114.0611,79.75,22,19,13.15,few clouds
133,Bangkal,PH,6.0667,121.0667,80.69,83,100,7.2,overcast clouds
134,Frontera,MX,26.9333,-101.45,68.0,40,90,6.91,overcast clouds
135,Vaini,TO,-21.2,-175.2,86.0,74,75,9.22,broken clouds
136,Tura,IN,25.5198,90.2201,69.22,92,18,6.29,few clouds
137,Cerritos,US,33.8583,-118.0648,91.4,12,1,12.66,clear sky
138,Thompson,CA,55.7435,-97.8558,30.2,40,40,9.22,scattered clouds
139,Hovd,MN,48.0056,91.6419,25.45,45,92,2.35,overcast clouds
140,Malaya Vishera,RU,58.8454,32.2222,35.64,93,94,4.79,light rain
141,Kalevala,RU,65.2,31.1667,33.49,84,98,11.81,overcast clouds
142,Hobyo,SO,5.3505,48.5268,79.45,74,9,8.39,clear sky
143,Dunedin,NZ,-45.8742,170.5036,54.0,67,1,21.0,clear sky
144,Sur,OM,22.5667,59.5289,80.49,38,15,2.35,few clouds
145,Goderich,CA,43.7501,-81.7165,35.6,69,69,13.8,broken clouds
146,Turukhansk,RU,65.8167,87.9833,-15.27,99,99,5.88,overcast clouds
147,Tahe,CN,52.3333,124.7333,32.5,66,50,10.25,scattered clouds
148,Eyl,SO,7.9803,49.8164,74.43,69,28,3.65,scattered clouds
149,Viru,PE,-8.4167,-78.75,68.0,94,20,9.22,fog
150,Bingerville,CI,5.3584,-3.8869,84.2,89,20,6.91,few clouds
151,Bela,IN,25.9333,81.9833,70.02,7,0,7.49,clear sky
152,Denpasar,ID,-8.65,115.2167,80.6,89,20,1.14,few clouds
153,Ossora,RU,59.2353,163.0719,27.43,90,100,2.68,overcast clouds
154,Beba,CU,22.4437,-79.7253,82.4,61,20,16.11,few clouds
155,Adrar,MR,20.5022,-10.0711,83.7,7,100,10.71,overcast clouds
156,Hobart,AU,-42.8794,147.3294,73.4,35,0,11.5,clear sky
157,Aykino,RU,62.2248,49.9922,29.32,95,91,6.58,overcast clouds
158,New Norfolk,AU,-42.7826,147.0587,73.0,33,100,5.99,overcast clouds
159,Bonavista,CA,48.6499,-53.1147,28.0,86,3,1.41,clear sky
160,Benguela,AO,-12.5763,13.4055,77.86,83,60,3.76,broken clouds
161,San Patricio,US,28.017,-97.5169,73.4,49,90,13.8,overcast clouds
162,Mvuma,ZW,-19.2792,30.5283,54.57,71,37,5.14,scattered clouds
163,Shache,CN,38.4167,77.2406,43.9,44,1,3.96,clear sky
164,Macon,US,39.8667,-88.9668,42.8,33,1,23.02,clear sky
165,Havelock,US,34.8791,-76.9013,71.01,87,99,8.99,overcast clouds
166,Catuday,PH,16.2923,119.8062,80.19,77,36,6.98,scattered clouds
167,San Quintin,MX,30.4833,-115.95,70.81,36,7,9.33,clear sky
168,Maragogi,BR,-9.0122,-35.2225,79.3,82,59,10.8,broken clouds
169,Isangel,VU,-19.55,169.2667,84.2,79,90,10.58,overcast clouds
170,Manggar,ID,-2.8833,108.2667,79.43,83,100,5.64,overcast clouds
171,Grindavik,IS,63.8424,-22.4338,41.0,81,90,20.71,overcast clouds
172,Kalianget,ID,-7.05,113.9333,79.61,84,100,5.59,overcast clouds
173,Yeniseysk,RU,58.4497,92.1703,-5.12,99,57,1.72,broken clouds
174,Hualmay,PE,-11.0964,-77.6139,69.76,85,12,9.33,few clouds
175,Saint Anthony,US,45.0205,-93.218,34.0,32,75,16.11,broken clouds
176,Haines Junction,CA,60.7522,-137.5108,33.8,64,100,5.75,overcast clouds
